Regulation;Dokumentreferenz
AMC1 FCL.140.A(b)(1) LAPL(A) Recency requirements;OM-D (29) 2.1.17.6
AMC1 FCL.140.A(b)(1) LAPL(A) Recency requirements;OM-D (29) 2.1.18.6
AMC1 FCL.140.A(b)(1) LAPL(A) Recency requirements;OM-D (29) 2.1.38
FCL.105.H LAPL(H) – Privileges;OM-D (29) 1.3.6
FCL.105.H LAPL(H) – Privileges;OM-D (29) 0.8.6
FCL.105.H LAPL(H) – Privileges;OM-D (29) 3.4.1
FCL.105.H LAPL(H) – Privileges;OM-D (29) 2.5.2.6.1
FCL.105.H LAPL(H) – Privileges;OM-D (29) 2.5.2.3.4.9
FCL.105.H LAPL(H) – Privileges;OM-D (29) 2.5.2.3.4.8
FCL.105.H LAPL(H) – Privileges;OM-D (29) 3.4.12
FCL.105.H LAPL(H) – Privileges;OM-D (29) 2.5.3.8
FCL.105.H LAPL(H) – Privileges;OM-D (29) 2.5.2.6.2
FCL.105.H LAPL(H) – Privileges;OM-D (29) 3.12.8
FCL.110.H LAPL(H) – Experience requirements and crediting;OM-D (29) 2.5.1.5.5
FCL.110.H LAPL(H) – Experience requirements and crediting;OM-D (29) 0.8.4
FCL.110.H LAPL(H) – Experience requirements and crediting;OM-D (29) 0.8.5
AMC1 FCL.110.H LAPL(H) Experience requirements and crediting;OM-D (29) 0.8.4
AMC1 FCL.110.H LAPL(H) Experience requirements and crediting;OM-D (29) 0.8.5
AMC1 FCL.110.H LAPL(H) Experience requirements and crediting;OM-D (29) 2.5.1.5.5
AMC1 FCL.110.H LAPL(H) Experience requirements and crediting;OM-D (29) 3.12.11
FCL.135.H LAPL(H) – Extension of privileges to another type or variant of helicopter;OM-D (29) 3.12.8
FCL.135.H LAPL(H) – Extension of privileges to another type or variant of helicopter;OM-D (29) 2.5.2.3.4.5
FCL.135.H LAPL(H) – Extension of privileges to another type or variant of helicopter;OM-D (29) 2.5.2.3.4.7
FCL.135.H LAPL(H) – Extension of privileges to another type or variant of helicopter;OM-D (29) 2.5.2.3.4.6
"GM1 FCL.135.A; FCL.135.H";OM-D (29) 2.5.10
"GM1 FCL.135.A; FCL.135.H";OM-D (29) 2.5.2.3.4.8
"GM1 FCL.135.A; FCL.135.H";OM-D (29) 2.5.1.5.2
"GM1 FCL.135.A; FCL.135.H";OM-D (29) 2.5.1.5.1
"GM1 FCL.135.A; FCL.135.H";OM-D (29) 2.5.1.5
"GM1 FCL.135.A; FCL.135.H";OM-D (29) 2.5.2.3.5
"GM1 FCL.135.A; FCL.135.H";OM-D (29) 2.5.2.3.4.9
"GM1 FCL.135.A; FCL.135.H";OM-D (29) 2.5.1.5.3
"GM1 FCL.135.A; FCL.135.H";OM-D (29) 2.5.1.5.6
"GM1 FCL.135.A; FCL.135.H";OM-D (29) 2.5.3.1
FCL.140.H LAPL(H) – Recency requirements;OM-D (29) 2.1.29
FCL.140.H LAPL(H) – Recency requirements;OM-D (29) 2.1.17.5
FCL.140.H LAPL(H) – Recency requirements;OM-D (29) 2.1.18.5
FCL.140.H LAPL(H) – Recency requirements;OM-D (29) 2.1.18.7
FCL.140.H LAPL(H) – Recency requirements;OM-D (29) 2.1.17.7.1
FCL.140.H LAPL(H) – Recency requirements;OM-D (29) 2.1.28.8
FCL.140.H LAPL(H) – Recency requirements;OM-D (29) 2.1.28.5
FCL.140.H LAPL(H) – Recency requirements;OM-D (29) 2.1.28.7
FCL.140.H LAPL(H) – Recency requirements;OM-D (29) 2.1.18.6
FCL.140.H LAPL(H) – Recency requirements;OM-D (29) 2.1.38
FCL.140.H LAPL(H) – Recency requirements;OM-D (29) 2.1.17.6
FCL.140.H LAPL(H) – Recency requirements;OM-D (29) 2.2.3
FCL.140.H LAPL(H) – Recency requirements;OM-D (29) 2.1.41.5
FCL.140.H LAPL(H) – Recency requirements;OM-D (29) 2.1.34.2
FCL.140.H LAPL(H) – Recency requirements;OM-D (29) 2.3.7.2
AMC1 FCL.140.H(b)(1) LAPL(H) Recency requirements;OM-D (29) 2.1.17.5
AMC1 FCL.140.H(b)(1) LAPL(H) Recency requirements;OM-D (29) 2.1.29
AMC1 FCL.140.H(b)(1) LAPL(H) Recency requirements;OM-D (29) 2.1.18.5
AMC1 FCL.140.H(b)(1) LAPL(H) Recency requirements;OM-D (29) 2.1.18.7
AMC1 FCL.140.H(b)(1) LAPL(H) Recency requirements;OM-D (29) 2.1.17.7.1
FCL.200 Minimum age;OM-D (29) 3.12.10
FCL.200 Minimum age;OM-D (29) 4.1.4
FCL.200 Minimum age;OM-D (29) 4.1.2
FCL.200 Minimum age;OM-D (29) 4.1
FCL.200 Minimum age;OM-D (29) 4.3
FCL.200 Minimum age;OM-D (29) 4.4
FCL.200 Minimum age;OM-D (29) 0.7.3.4
FCL.200 Minimum age;OM-D (29) 2.3.2.6
FCL.200 Minimum age;OM-D (29) 2.3.2.5.3
FCL.200 Minimum age;OM-D (29) 3.10.3.4
FCL.200 Minimum age;OM-D (29) 4.2
FCL.205 Conditions ;OM-D (29) 3.4.2
FCL.205 Conditions ;OM-D (29) 2.5.2.4
FCL.205 Conditions ;OM-D (29) 3.4.9
FCL.205 Conditions ;OM-D (29) 3.4.12
FCL.205 Conditions ;OM-D (29) 3.8
FCL.210 Training course;OM-D (29) 0.8.2
FCL.210 Training course;OM-D (29) 1.1.1.8
FCL.210 Training course;OM-D (29) 2.1.2
FCL.210 Training course;OM-D (29) 2.1.2.3
FCL.210 Training course;OM-D (29) 2.1.2.4
FCL.210 Training course;OM-D (29) 2.1.2.5
FCL.210 Training course;OM-D (29) 2.1.2.6
FCL.210 Training course;OM-D (29) 2.1.2.7
FCL.210 Training course;OM-D (29) 2.1.3.2
FCL.210 Training course;OM-D (29) 2.1.3.3
FCL.210 Training course;OM-D (29) 2.1.4.2
FCL.210 Training course;OM-D (29) 2.1.4.3
FCL.210 Training course;OM-D (29) 2.1.4.5
FCL.210 Training course;OM-D (29) 2.1.5.2
FCL.210 Training course;OM-D (29) 2.1.5.5
FCL.210 Training course;OM-D (29) 2.1.17.4.1
FCL.210 Training course;OM-D (29) 2.1.19
FCL.210 Training course;OM-D (29) 2.1.23.2
FCL.210 Training course;OM-D (29) 2.1.28.4
FCL.210 Training course;OM-D (29) 2.1.41
FCL.210 Training course;OM-D (29) 2.2.6.1
FCL.210 Training course;OM-D (29) 2.2.6.2
FCL.210 Training course;OM-D (29) 2.2.6.3
FCL.210 Training course;OM-D (29) 2.2.7
FCL.210 Training course;OM-D (29) 2.3.7.2
FCL.210 Training course;OM-D (29) 2.5.1.4
FCL.210 Training course;OM-D (29) 2.5.1.5
FCL.210 Training course;OM-D (29) 2.5.2.3.4
FCL.210 Training course;OM-D (29) 2.5.2.4
FCL.210 Training course;OM-D (29) 2.5.3.4
FCL.210 Training course;OM-D (29) 3.4.14
FCL.210 Training course;OM-D (29) 3.5.4.2.1
FCL.210 Training course;OM-D (29) 3.5.4.2.2
FCL.210 Training course;OM-D (29) 3.5.4.2.3
FCL.210 Training course;OM-D (29) 3.5.4.2.4
FCL.210 Training course;OM-D (29) 3.10.3.4
FCL.210 Training course;OM-D (29) 3.13.4
FCL.210 Training course;OM-D (29) 3.14.1
AMC2 FCL.210 PPL(H) – Training course;OM-D (29) 3.9.2
AMC2 FCL.210 PPL(H) – Training course;OM-D (29) 2.3.2.1
AMC2 FCL.210 PPL(H) – Training course;OM-D (29) 0.5.5
AMC2 FCL.210 PPL(H) – Training course;OM-D (29) 0.5.6
AMC2 FCL.210 PPL(H) – Training course;OM-D (29) 3.10.3
AMC2 FCL.210 PPL(H) – Training course;OM-D (29) 2.3.2.3
AMC2 FCL.210 PPL(H) – Training course;OM-D (29) 1.1.1.5
AMC2 FCL.210 PPL(H) – Training course;OM-D (29) 1.0.4
AMC2 FCL.210 PPL(H) – Training course;OM-D (29) 2.3.4.1
AMC2 FCL.210 PPL(H) – Training course;OM-D (29) 3.12.9.1
AMC2 FCL.210 PPL(H) – Training course;OM-D (29) 2.1.17.4
AMC2 FCL.210 PPL(H) – Training course;OM-D (29) 2.1.17.4.1
AMC2 FCL.210 PPL(H) – Training course;OM-D (29) 2.5.2.3.4.1
AMC2 FCL.210 PPL(H) – Training course;OM-D (29) 2.1.2.7
AMC2 FCL.210 PPL(H) – Training course;OM-D (29) 2.1.2.3
AMC2 FCL.210 PPL(H) – Training course;OM-D (29) 2.1.2.5
AMC2 FCL.210 PPL(H) – Training course;OM-D (29) 2.1.2.6
AMC2 FCL.210 PPL(H) – Training course;OM-D (29) 2.3.2.3.2.2
FCL.215 Theoretical knowledge examination;OM-D (29) 2.14
FCL.215 Theoretical knowledge examination;OM-D (29) 1.19
FCL.215 Theoretical knowledge examination;OM-D (29) 3.12.9.2
FCL.215 Theoretical knowledge examination;OM-D (29) 3.4.2
FCL.215 Theoretical knowledge examination;OM-D (29) 3.4.3
FCL.215 Theoretical knowledge examination;OM-D (29) 3.4.4
FCL.215 Theoretical knowledge examination;OM-D (29) 3.4.6
FCL.215 Theoretical knowledge examination;OM-D (29) 3.4.6.2
FCL.215 Theoretical knowledge examination;OM-D (29) 3.4.6.3
FCL.215 Theoretical knowledge examination;OM-D (29) 3.9.3.2
FCL.215 Theoretical knowledge examination;OM-D (29) 3.13.4
FCL.215 Theoretical knowledge examination;OM-D (29) 3.14.1
FCL.215 Theoretical knowledge examination;OM-D (29) 0.8.5
"AMC1 FCL.210; FCL.215 Training course and theoretical knowledge examination";OM-D (29) 3.14.1
"AMC1 FCL.210; FCL.215 Training course and theoretical knowledge examination";OM-D (29) 3.4.14
"AMC1 FCL.210; FCL.215 Training course and theoretical knowledge examination";OM-D (29) 3.12.9.2
"AMC1 FCL.210; FCL.215 Training course and theoretical knowledge examination";OM-D (29) 3.4.3
"AMC1 FCL.210; FCL.215 Training course and theoretical knowledge examination";OM-D (29) 3.4.2.2
"AMC1 FCL.210; FCL.215 Training course and theoretical knowledge examination";OM-D (29) 2.2.1.1.1
"AMC2 FCL.210; FCL.215";OM-D (29) 2.5.1.5
"AMC2 FCL.210; FCL.215";OM-D (29) 2.5.1.5.1
"AMC2 FCL.210; FCL.215";OM-D (29) 2.5.1.5.2
"AMC2 FCL.210; FCL.215";OM-D (29) 2.5.1.5.3
"AMC2 FCL.210; FCL.215";OM-D (29) 2.5.2.3.4.8
"AMC2 FCL.210; FCL.215";OM-D (29) 2.5.2.3.4.9
"AMC2 FCL.210; FCL.215";OM-D (29) 2.5.2.3.5
"AMC2 FCL.210; FCL.215";OM-D (29) 2.5.3.1
"AMC2 FCL.210; FCL.215";OM-D (29) 2.5.2.3.4.9
"AMC3 FCL.210; FCL.215 Training course and theoretical knowledge examination";OM-D (29) 3.14.1
"AMC3 FCL.210; FCL.215 Training course and theoretical knowledge examination";OM-D (29) 3.4.14
"AMC3 FCL.210; FCL.215 Training course and theoretical knowledge examination";OM-D (29) 3.12.9.2
"AMC3 FCL.210; FCL.215 Training course and theoretical knowledge examination";OM-D (29) 3.4.3
"AMC3 FCL.210; FCL.215 Training course and theoretical knowledge examination";OM-D (29) 3.4.2.2
"AMC3 FCL.210; FCL.215 Training course and theoretical knowledge examination";OM-D (29) 2.2.1.1.1
FCL.235 Skill test;OM-D (29) 2.5.2.4
FCL.235 Skill test;OM-D (29) 3.4.2
FCL.235 Skill test;OM-D (29) 3.4.9
FCL.235 Skill test;OM-D (29) 3.4.8
FCL.235 Skill test;OM-D (29) 3.4.6.3
FCL.235 Skill test;OM-D (29) 3.4.6.2
FCL.235 Skill test;OM-D (29) 3.4.6.1
FCL.235 Skill test;OM-D (29) 3.4.1
"AMC1 FCL.125; FCL.235";OM-D (29) 2.5.1.5.1
"AMC1 FCL.125; FCL.235";OM-D (29) 2.5.1.5.2
"AMC1 FCL.125; FCL.235";OM-D (29) 2.5.1.5.3
"AMC1 FCL.125; FCL.235";OM-D (29) 2.5.1.5.6
"AMC1 FCL.125; FCL.235";OM-D (29) 2.5.1.5
"AMC1 FCL.125; FCL.235";OM-D (29) 2.5.2.3.4.8
"AMC1 FCL.125; FCL.235";OM-D (29) 2.5.2.3.4.9
"AMC1 FCL.125; FCL.235";OM-D (29) 2.5.2.3.5
"AMC1 FCL.125; FCL.235";OM-D (29) 2.5.10
"AMC2 FCL.125; FCL.235";OM-D (29) 2.5.1.5.3
"AMC2 FCL.125; FCL.235";OM-D (29) 2.5.1.5.1
"AMC2 FCL.125; FCL.235";OM-D (29) 2.5.1.5.2
"AMC2 FCL.125; FCL.235";OM-D (29) 2.5.1.5.6
"AMC2 FCL.125; FCL.235";OM-D (29) 2.5.1.5
"AMC2 FCL.125; FCL.235";OM-D (29) 2.5.2.3.4.8
"AMC2 FCL.125; FCL.235";OM-D (29) 2.5.2.3.4.9
"AMC2 FCL.125; FCL.235";OM-D (29) 2.5.2.3.5
"AMC2 FCL.125; FCL.235";OM-D (29) 2.5.10
"AMC1 FCL.215; FCL.235";OM-D (29) 2.5.1.5.1
"AMC1 FCL.215; FCL.235";OM-D (29) 2.5.1.5.2
"AMC1 FCL.215; FCL.235";OM-D (29) 2.5.1.5.3
"AMC1 FCL.215; FCL.235";OM-D (29) 2.5.1.5
"AMC1 FCL.215; FCL.235";OM-D (29) 2.5.2.3.4.8
"AMC1 FCL.215; FCL.235";OM-D (29) 2.5.2.3.4.9
"AMC1 FCL.215; FCL.235";OM-D (29) 2.5.2.3.5
"AMC1 FCL.215; FCL.235";OM-D (29) 2.5.10
"AMC1 FCL.215; FCL.235";OM-D (29) 2.5.1.5.6
AMC1 FCL.235 Skill test;OM-D (29) 3.4.8
AMC1 FCL.235 Skill test;OM-D (29) 2.1.33
AMC1 FCL.235 Skill test;OM-D (29) 3.12.9.3
AMC1 FCL.235 Skill test;OM-D (29) 3.4.7
AMC1 FCL.235 Skill test;OM-D (29) 3.3.1.1
AMC1 FCL.235 Skill test;OM-D (29) 3.4.9
AMC1 FCL.235 Skill test;OM-D (29) 3.4.6.3
AMC1 FCL.235 Skill test;OM-D (29) 3.4.6.2
AMC1 FCL.235 Skill test;OM-D (29) 3.4.6.1
AMC1 FCL.235 Skill test;OM-D (29) 3.4.6
AMC1 FCL.235 Skill test;OM-D (29) 3.4.2
AMC2 FCL.235 Skill test;OM-D (29) 3.4.8
AMC2 FCL.235 Skill test;OM-D (29) 2.1.33
AMC2 FCL.235 Skill test;OM-D (29) 3.12.9.3
AMC2 FCL.235 Skill test;OM-D (29) 3.4.7
AMC2 FCL.235 Skill test;OM-D (29) 3.3.1.1
AMC2 FCL.235 Skill test;OM-D (29) 3.4.9
AMC2 FCL.235 Skill test;OM-D (29) 3.2.5
AMC2 FCL.235 Skill test;OM-D (29) 3.4.6.3
AMC2 FCL.235 Skill test;OM-D (29) 3.4.1
AMC2 FCL.235 Skill test;OM-D (29) 3.4.6.2
AMC2 FCL.235 Skill test;OM-D (29) 3.4.6.1
AMC2 FCL.235 Skill test;OM-D (29) 3.4.6
AMC2 FCL.235 Skill test;OM-D (29) 3.4.14
AMC3 FCL.235 Skill test;OM-D (29) 3.4.8
AMC3 FCL.235 Skill test;OM-D (29) 2.1.33
AMC3 FCL.235 Skill test;OM-D (29) 3.12.9.3
AMC3 FCL.235 Skill test;OM-D (29) 3.4.7
AMC3 FCL.235 Skill test;OM-D (29) 3.3.1.1
AMC3 FCL.235 Skill test;OM-D (29) 3.4.9
AMC3 FCL.235 Skill test;OM-D (29) 3.4.6.3
AMC3 FCL.235 Skill test;OM-D (29) 3.4.6.2
AMC3 FCL.235 Skill test;OM-D (29) 3.4.6.1
AMC3 FCL.235 Skill test;OM-D (29) 3.4.6
AMC3 FCL.235 Skill test;OM-D (29) 3.4.14
FCL.205.A PPL(A) – Privileges;OM-D (29) 1.3.6
FCL.205.A PPL(A) – Privileges;OM-D (29) 0.8.6
FCL.205.A PPL(A) – Privileges;OM-D (29) 0.7.2
FCL.205.A PPL(A) – Privileges;OM-D (29) 3.4.1
FCL.205.A PPL(A) – Privileges;OM-D (29) 2.5.2.6.1
FCL.205.A PPL(A) – Privileges;OM-D (29) 2.5.2.3.4.9
FCL.205.A PPL(A) – Privileges;OM-D (29) 2.5.2.3.4.8
FCL.205.A PPL(A) – Privileges;OM-D (29) 3.4.12
FCL.205.A PPL(A) – Privileges;OM-D (29) 2.5.3.8
FCL.205.A PPL(A) – Privileges;OM-D (29) 2.5.2.6.2
FCL.205.A PPL(A) – Privileges;OM-D (29) 3.12.8
FCL.210.A PPL(A) – Experience requirements and crediting;OM-D (29) 2.5.1.5.5
FCL.210.A PPL(A) – Experience requirements and crediting;OM-D (29) 0.8.4
FCL.210.A PPL(A) – Experience requirements and crediting;OM-D (29) 0.8.5
FCL.205.H PPL(H) – Privileges;OM-D (29) 1.3.6
FCL.205.H PPL(H) – Privileges;OM-D (29) 0.8.6
FCL.205.H PPL(H) – Privileges;OM-D (29) 0.7.2
FCL.205.H PPL(H) – Privileges;OM-D (29) 3.4.1
FCL.205.H PPL(H) – Privileges;OM-D (29) 2.5.2.6.1
FCL.205.H PPL(H) – Privileges;OM-D (29) 2.5.2.3.4.9
FCL.205.H PPL(H) – Privileges;OM-D (29) 2.5.2.3.4.8
FCL.205.H PPL(H) – Privileges;OM-D (29) 3.4.12
FCL.205.H PPL(H) – Privileges;OM-D (29) 2.5.3.8
FCL.205.H PPL(H) – Privileges;OM-D (29) 2.5.2.6.2
FCL.205.H PPL(H) – Privileges;OM-D (29) 3.12.8
FCL.210.H PPL(H) – Experience requirements and crediting;OM-D (29) 2.5.1.5.5
FCL.210.H PPL(H) – Experience requirements and crediting;OM-D (29) 0.8.4
FCL.210.H PPL(H) – Experience requirements and crediting;OM-D (29) 0.8.5
FCL.205.As PPL(As) – Privileges;OM-D (29) 1.3.6
FCL.205.As PPL(As) – Privileges;OM-D (29) 0.8.6
FCL.205.As PPL(As) – Privileges;OM-D (29) 3.4.1
FCL.205.As PPL(As) – Privileges;OM-D (29) 2.5.2.6.1
FCL.205.As PPL(As) – Privileges;OM-D (29) 2.5.2.3.4.9
FCL.205.As PPL(As) – Privileges;OM-D (29) 2.5.2.3.4.8
FCL.205.As PPL(As) – Privileges;OM-D (29) 3.4.12
FCL.205.As PPL(As) – Privileges;OM-D (29) 2.5.3.8
FCL.205.As PPL(As) – Privileges;OM-D (29) 2.5.2.6.2
FCL.205.As PPL(As) – Privileges;OM-D (29) 3.12.8
FCL.210.As PPL(As) – Experience requirements and crediting;OM-D (29) 2.5.1.5.5
FCL.210.As PPL(As) – Experience requirements and crediting;OM-D (29) 0.8.4
FCL.210.As PPL(As) – Experience requirements and crediting;OM-D (29) 0.8.5
AMC1 FCL.210.As PPL(As) – Experience requirements and crediting;OM-D (29) 2.5.1.5.5
AMC1 FCL.210.As PPL(As) – Experience requirements and crediting;OM-D (29) 0.8.4
AMC1 FCL.210.As PPL(As) – Experience requirements and crediting;OM-D (29) 0.8.5
FCL.300 CPL – Minimum age;OM-D (29) 2.5.1.5.4
FCL.305 CPL – Privileges and conditions;OM-D (29) 1.3.6
FCL.305 CPL – Privileges and conditions;OM-D (29) 0.8.6
FCL.305 CPL – Privileges and conditions;OM-D (29) 0.7.2
FCL.305 CPL – Privileges and conditions;OM-D (29) 3.4.1
FCL.305 CPL – Privileges and conditions;OM-D (29) 3.4.12
FCL.310 CPL – Theoretical knowledge examinations;OM-D (29) 3.4.14
FCL.310 CPL – Theoretical knowledge examinations;OM-D (29) 2.14
FCL.310 CPL – Theoretical knowledge examinations;OM-D (29) 1.19
FCL.310 CPL – Theoretical knowledge examinations;OM-D (29) 3.4.2
FCL.310 CPL – Theoretical knowledge examinations;OM-D (29) 0.8.5
FCL.310 CPL – Theoretical knowledge examinations;OM-D (29) 3.4.3
FCL.310 CPL – Theoretical knowledge examinations;OM-D (29) 3.4.6.2
FCL.310 CPL – Theoretical knowledge examinations;OM-D (29) 3.10.3.2
FCL.310 CPL – Theoretical knowledge examinations;OM-D (29) 3.4.4
"AMC1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.4.2
"AMC1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 2.14
"AMC1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.12.9.2
"AMC1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 1.19
"AMC1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.4.14
"AMC1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.4.4
"AMC1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 0.8.5
"AMC1 FCL.310; FCL.515(b); FCL.615(b) Theoretical knowledge examinations – Airships";OM-D (29) 3.12.9.2
"GM1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.4.2
"GM1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.12.9.2
"GM1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.4.4
"GM1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 0.8.5
FCL.315 CPL – Training course;OM-D (29) 3.9.2
FCL.315 CPL – Training course;OM-D (29) 2.3.4.1
FCL.315 CPL – Training course;OM-D (29) 3.12.9.1
FCL.315 CPL – Training course;OM-D (29) 1.0.4
FCL.315 CPL – Training course;OM-D (29) 2.3.2.3
FCL.315 CPL – Training course;OM-D (29) 0.5.5
FCL.315 CPL – Training course;OM-D (29) 0.5.6
FCL.315 CPL – Training course;OM-D (29) 3.10.3
FCL.315 CPL – Training course;OM-D (29) 2.1.17.4
FCL.315 CPL – Training course;OM-D (29) 2.1.17.4.1
FCL.315 CPL – Training course;OM-D (29) 2.5.2.3.4.1
FCL.315 CPL – Training course;OM-D (29) 2.3.2.1
FCL.315 CPL – Training course;OM-D (29) 2.1.2.7
FCL.315 CPL – Training course;OM-D (29) 2.1.2.3
FCL.315 CPL – Training course;OM-D (29) 2.1.2.5
FCL.315 CPL – Training course;OM-D (29) 2.1.2.6
FCL.315 CPL – Training course;OM-D (29) 2.3.7.2
FCL.315 CPL – Training course;OM-D (29) 2.3.2.3.2.2
FCL.320 CPL – Skill test;OM-D (29) 3.4.8
FCL.320 CPL – Skill test;OM-D (29) 3.12.9.3
FCL.320 CPL – Skill test;OM-D (29) 3.4.7
FCL.320 CPL – Skill test;OM-D (29) 3.3.1.1
FCL.320 CPL – Skill test;OM-D (29) 3.2.5
FCL.320 CPL – Skill test;OM-D (29) 3.4.1
FCL.320 CPL – Skill test;OM-D (29) 3.4.9
FCL.320 CPL – Skill test;OM-D (29) 3.5.4.1
FCL.320 CPL – Skill test;OM-D (29) 3.4.6
FCL.320 CPL – Skill test;OM-D (29) 3.4.6.3
FCL.320 CPL – Skill test;OM-D (29) 3.4.4
FCL.320 CPL – Skill test;OM-D (29) 3.4.6.2
FCL.320 CPL – Skill test;OM-D (29) 3.4.6.1
FCL.315.A CPL – Training course;OM-D (29) 3.9.2
FCL.315.A CPL – Training course;OM-D (29) 2.1.17.4
FCL.315.A CPL – Training course;OM-D (29) 2.3.2.1
FCL.315.A CPL – Training course;OM-D (29) 0.5.5
FCL.315.A CPL – Training course;OM-D (29) 0.5.6
FCL.315.A CPL – Training course;OM-D (29) 3.10.3
FCL.315.A CPL – Training course;OM-D (29) 2.3.4.1
FCL.315.A CPL – Training course;OM-D (29) 3.12.9.1
FCL.315.A CPL – Training course;OM-D (29) 1.0.4
FCL.315.A CPL – Training course;OM-D (29) 2.3.2.3
FCL.315.A CPL – Training course;OM-D (29) 2.1.2.7
FCL.315.A CPL – Training course;OM-D (29) 2.1.17.7.1
FCL.315.A CPL – Training course;OM-D (29) 2.3.7.2
FCL.315.A CPL – Training course;OM-D (29) 1.1.1.5
FCL.315.A CPL – Training course;OM-D (29) 1.1.1.8
FCL.325.A CPL(A) – Specific conditions for MPL holders;OM-D (29) 2.5.2.1
FCL.325.A CPL(A) – Specific conditions for MPL holders;OM-D (29) 3.12.11
FCL.400.A MPL – Minimum age;OM-D (29) 2.5.1.5.4
FCL.405.A MPL – Privileges;OM-D (29) 1.3.6
FCL.405.A MPL – Privileges;OM-D (29) 0.8.6
FCL.405.A MPL – Privileges;OM-D (29) 0.7.2
FCL.405.A MPL – Privileges;OM-D (29) 3.4.1
FCL.405.A MPL – Privileges;OM-D (29) 2.5.2.6.1
FCL.405.A MPL – Privileges;OM-D (29) 2.5.2.3.4.9
FCL.405.A MPL – Privileges;OM-D (29) 2.5.2.3.4.8
FCL.405.A MPL – Privileges;OM-D (29) 3.4.12
FCL.405.A MPL – Privileges;OM-D (29) 2.5.3.8
FCL.405.A MPL – Privileges;OM-D (29) 2.5.2.6.2
FCL.405.A MPL – Privileges;OM-D (29) 3.12.8
FCL.410.A MPL – Training course and theoretical knowledge examinations;OM-D (29) 3.12.9.2
FCL.410.A MPL – Training course and theoretical knowledge examinations;OM-D (29) 1.19
FCL.410.A MPL – Training course and theoretical knowledge examinations;OM-D (29) 3.14.1
FCL.410.A MPL – Training course and theoretical knowledge examinations;OM-D (29) 3.13.4
FCL.415.A MPL – Practical skill;OM-D (29) 2.4.5.4
FCL.415.A MPL – Practical skill;OM-D (29) 3.4.8
FCL.415.A MPL – Practical skill;OM-D (29) 2.1.33
FCL.415.A MPL – Practical skill;OM-D (29) 3.12.9.3
FCL.415.A MPL – Practical skill;OM-D (29) 3.4.7
FCL.415.A MPL – Practical skill;OM-D (29) 3.6.1.3
FCL.415.A MPL – Practical skill;OM-D (29) 3.2.5
FCL.415.A MPL – Practical skill;OM-D (29) 3.6.2.2
FCL.500 ATPL – Minimum age;OM-D (29) 2.5.1.5.4
FCL.505 ATPL – Privileges;OM-D (29) 1.3.6
FCL.505 ATPL – Privileges;OM-D (29) 0.8.6
FCL.505 ATPL – Privileges;OM-D (29) 3.4.1
FCL.505 ATPL – Privileges;OM-D (29) 2.5.2.6.1
FCL.505 ATPL – Privileges;OM-D (29) 2.5.2.3.4.9
FCL.505 ATPL – Privileges;OM-D (29) 2.5.2.3.4.8
FCL.505 ATPL – Privileges;OM-D (29) 3.4.12
FCL.505 ATPL – Privileges;OM-D (29) 2.5.3.8
FCL.505 ATPL – Privileges;OM-D (29) 2.5.2.3.3
FCL.505 ATPL – Privileges;OM-D (29) 3.12.8
FCL.515 ATPL – Training course and theoretical knowledge examinations;OM-D (29) 3.12.9.2
FCL.515 ATPL – Training course and theoretical knowledge examinations;OM-D (29) 1.19
FCL.515 ATPL – Training course and theoretical knowledge examinations;OM-D (29) 3.14.1
FCL.515 ATPL – Training course and theoretical knowledge examinations;OM-D (29) 3.13.4
"AMC1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.4.2
"AMC1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.12.9.2
"AMC1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.4.4
"AMC1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 0.8.5
"GM1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.4.2
"GM1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d) Theoretical knowledge examinations";OM-D (29) 3.4.14
